event_id,user_id,event_type,event_at,referral_id,metadata_json
1,1,install,2023-07-20 00:00:00,,{}
2,2,install,2023-02-12 00:00:00,,{}
3,3,install,2023-05-19 00:00:00,,{}
4,4,install,2023-10-14 00:00:00,,{}
5,5,install,2024-04-04 19:18:51,,{}
6,5,app_open,2024-04-10 09:48:51,,{}
7,5,app_open,2024-04-16 10:49:51,,{}
8,5,app_open,2024-04-24 04:03:51,,{}
9,5,app_open,2024-04-16 01:23:51,,{}
10,5,app_open,2024-05-02 13:07:51,,{}
11,6,install,2024-03-14 14:51:22,,{}
12,7,install,2023-02-24 00:00:00,,{}
13,8,install,2023-01-27 00:00:00,,{}
14,9,install,2023-05-15 00:00:00,,{}
15,10,install,2024-01-19 01:39:36,,{}
16,10,app_open,2024-02-13 12:33:36,,{}
17,10,app_open,2024-02-06 10:34:36,,{}
18,11,install,2023-04-07 00:00:00,,{}
19,12,install,2024-03-18 19:25:55,,{}
20,12,app_open,2024-04-17 14:49:55,,{}
21,12,app_open,2024-04-01 03:38:55,,{}
22,13,install,2023-08-18 00:00:00,,{}
23,14,install,2024-01-14 20:47:38,,{}
24,14,app_open,2024-01-15 02:42:38,,{}
25,15,install,2024-04-21 21:30:20,,{}
26,15,app_open,2024-05-12 17:11:20,,{}
27,15,app_open,2024-05-08 22:55:20,,{}
28,15,app_open,2024-04-27 16:54:20,,{}
29,16,install,2023-07-19 00:00:00,,{}
30,17,install,2023-03-24 00:00:00,,{}
31,18,install,2024-06-14 21:51:01,,{}
32,19,install,2023-05-03 00:00:00,,{}
33,20,install,2023-06-11 00:00:00,,{}
34,21,install,2023-12-03 00:00:00,,{}
35,22,install,2023-07-08 00:00:00,,{}
36,23,install,2024-02-14 16:25:45,,{}
37,23,app_open,2024-02-18 17:40:45,,{}
38,24,install,2023-08-14 00:00:00,,{}
39,25,install,2023-02-08 00:00:00,,{}
40,26,install,2024-05-24 07:17:02,,{}
41,27,install,2024-06-13 16:07:15,,{}
42,27,app_open,2024-06-28 21:44:15,,{}
43,28,install,2023-10-03 00:00:00,,{}
44,29,install,2023-12-16 00:00:00,,{}
45,29,app_open,2024-01-04 10:35:00,,{}
46,29,app_open,2024-01-03 03:13:00,,{}
47,29,app_open,2024-01-09 03:28:00,,{}
48,29,app_open,2024-01-05 01:55:00,,{}
49,30,install,2024-03-24 12:16:16,,{}
50,30,app_open,2024-03-28 06:00:16,,{}
51,31,install,2023-07-03 00:00:00,,{}
52,32,install,2023-01-29 00:00:00,,{}
53,33,install,2023-02-18 00:00:00,,{}
54,34,install,2023-12-28 00:00:00,,{}
55,34,app_open,2024-01-23 08:08:00,,{}
56,34,app_open,2024-01-10 00:08:00,,{}
57,35,install,2023-01-12 00:00:00,,{}
58,36,install,2023-02-26 00:00:00,,{}
59,37,install,2023-05-09 00:00:00,,{}
60,38,install,2023-02-04 00:00:00,,{}
61,39,install,2023-01-26 00:00:00,,{}
62,40,install,2023-04-27 00:00:00,,{}
63,41,install,2023-05-16 00:00:00,,{}
64,42,install,2024-06-14 06:43:16,,{}
65,43,install,2023-08-07 00:00:00,,{}
66,44,install,2023-02-11 00:00:00,,{}
67,45,install,2024-03-07 22:53:45,,{}
68,45,app_open,2024-03-26 18:18:45,,{}
69,45,app_open,2024-04-05 09:00:45,,{}
70,45,app_open,2024-04-02 09:44:45,,{}
71,46,install,2024-04-10 01:51:41,,{}
72,46,app_open,2024-04-21 01:09:41,,{}
73,47,install,2024-01-16 07:49:35,,{}
74,47,app_open,2024-01-17 10:11:35,,{}
75,47,app_open,2024-02-02 02:36:35,,{}
76,48,install,2024-05-11 22:16:58,,{}
77,48,app_open,2024-05-14 10:27:58,,{}
78,48,app_open,2024-05-31 12:20:58,,{}
79,48,app_open,2024-06-06 06:42:58,,{}
80,49,install,2024-04-06 21:42:48,,{}
81,49,app_open,2024-04-24 02:23:48,,{}
82,49,app_open,2024-04-11 00:19:48,,{}
83,50,install,2023-07-31 00:00:00,,{}
