product_id,name,category,price,points_per_dollar,created_at
1,Slurm Cereal,Breakfast,4.09,5,2023-05-03 00:00:00
2,Slurm Cereal,Breakfast,5.39,5,2023-05-15 00:00:00
3,Wonka Cereal,Breakfast,3.35,1,2023-09-22 00:00:00
4,Atreides Cereal,Breakfast,9.87,1,2023-06-07 00:00:00
5,Initech Oatmeal,Breakfast,8.81,5,2023-07-24 00:00:00
6,Wonka Oatmeal,Breakfast,8.14,3,2023-08-12 00:00:00
7,Buzz Cola Oatmeal,Breakfast,2.58,1,2023-06-07 00:00:00
8,Brawndo Oatmeal,Breakfast,7.44,2,2023-11-28 00:00:00
9,Atreides Granola Bars,Breakfast,8.89,5,2023-08-21 00:00:00
10,Initech Granola Bars,Breakfast,6.83,2,2023-10-15 00:00:00
11,Krusty Granola Bars,Breakfast,6.45,3,2023-09-22 00:00:00
12,Slurm Granola Bars,Breakfast,7.33,5,2023-05-08 00:00:00
13,Tyrell Yogurt,Breakfast,7.86,1,2023-10-10 00:00:00
14,CHOAM Yogurt,Breakfast,5.23,5,2023-04-01 00:00:00
15,Krusty Yogurt,Breakfast,7.51,5,2023-04-01 00:00:00
16,Lard Lad Yogurt,Breakfast,5.18,2,2023-05-07 00:00:00
17,Atreides Waffles,Breakfast,9.4,3,2023-11-20 00:00:00
18,Cyberdyne Waffles,Breakfast,2.69,2,2023-04-11 00:00:00
19,Soylent Waffles,Breakfast,9.38,2,2023-08-30 00:00:00
20,Atreides Waffles,Breakfast,5.39,5,2023-03-14 00:00:00
21,Wonka Chips,Snacks,8.64,2,2023-04-17 00:00:00
22,Buzz Cola Chips,Snacks,7.14,5,2023-06-19 00:00:00
23,Wonka Chips,Snacks,3.34,5,2023-07-06 00:00:00
24,Slurm Chips,Snacks,6.64,3,2023-02-16 00:00:00
25,Lard Lad Crackers,Snacks,6.27,3,2023-06-11 00:00:00
26,CHOAM Crackers,Snacks,6.97,5,2023-09-16 00:00:00
27,CHOAM Crackers,Snacks,5.46,5,2023-07-04 00:00:00
28,Brawndo Crackers,Snacks,2.19,3,2023-03-05 00:00:00
29,Wonka Cookies,Snacks,2.19,1,2023-07-07 00:00:00
30,Harkonnen Cookies,Snacks,2.99,1,2023-05-18 00:00:00
31,Brawndo Cookies,Snacks,4.63,1,2023-09-22 00:00:00
32,Tyrell Cookies,Snacks,6.71,5,2023-06-06 00:00:00
33,Harkonnen Pretzels,Snacks,8.4,1,2023-01-05 00:00:00
