purchase_id,user_id,product_id,quantity,price_paid,points_earned,purchased_at,day_of_week,hour_of_day
1,513,32,1,6.77,34,2024-05-03 17:57:20,Friday,17
2,778,2,1,5.25,26,2024-04-01 14:55:04,Monday,14
3,473,52,3,17.94,54,2024-05-19 17:22:23,Sunday,17
4,758,47,1,2.43,2,2024-03-03 09:22:27,Sunday,9
5,717,92,1,3.83,4,2024-01-17 08:51:49,Wednesday,8
6,708,71,1,2.3,7,2024-01-09 08:05:20,Tuesday,8
7,775,67,1,5.46,16,2024-03-21 17:00:53,Thursday,17
8,616,15,2,15.19,76,2024-01-11 17:32:41,Thursday,17
9,687,15,3,22.64,113,2024-04-26 07:17:20,Friday,7
10,873,6,1,7.38,22,2024-03-31 07:36:15,Sunday,7
11,57,24,1,6.55,20,2024-01-10 15:12:47,Wednesday,15
12,844,98,1,2.71,3,2024-04-24 15:20:16,Wednesday,15
13,19,50,1,3.99,12,2024-05-05 21:53:27,Sunday,21
14,596,90,1,3.52,11,2024-01-14 17:23:16,Sunday,17
15,39,59,1,3.61,7,2024-06-15 03:23:25,Saturday,3
16,1011,28,3,5.42,16,2024-01-24 07:56:58,Wednesday,7
17,436,17,2,19.02,57,2024-03-23 02:22:39,Saturday,2
18,502,8,1,7.35,15,2024-05-09 08:51:30,Thursday,8
19,294,5,1,8.96,45,2024-05-09 20:02:45,Thursday,20
20,848,35,1,2.44,2,2024-06-30 20:37:07,Sunday,20
21,1061,3,1,3.37,3,2024-03-09 08:43:41,Saturday,8
22,160,78,1,10.14,20,2024-06-21 17:15:31,Friday,17
23,277,68,1,8.24,25,2024-05-03 09:16:23,Friday,9
24,253,89,1,3.76,11,2024-06-26 08:56:11,Wednesday,8
25,473,31,3,12.88,13,2024-05-05 11:48:34,Sunday,11
26,659,72,2,17.02,17,2024-06-07 18:34:07,Friday,18
27,253,98,1,2.74,3,2024-06-07 18:21:29,Friday,18
28,1139,10,2,13.96,28,2024-03-02 16:46:58,Saturday,16
29,150,49,1,6.41,32,2024-05-25 22:53:07,Saturday,22
30,280,74,2,8.96,9,2024-01-11 00:53:26,Thursday,0
31,634,33,1,8.4,8,2024-06-26 10:21:15,Wednesday,10
32,508,89,1,3.7,11,2024-03-22 16:02:10,Friday,16
33,1038,57,2,9.84,49,2024-04-05 07:24:27,Friday,7
34,739,7,2,5.02,5,2024-03-25 20:35:33,Monday,20
35,433,7,1,2.36,2,2024-01-16 17:05:40,Tuesday,17
36,8,79,2,5.56,17,2024-03-07 13:19:19,Thursday,13
37,253,80,1,9.1,46,2024-06-28 18:30:48,Friday,18
38,1026,27,1,5.54,28,2024-05-01 10:33:59,Wednesday,10
39,800,61,2,17.28,86,2024-03-09 01:28:19,Saturday,1
40,683,79,1,2.72,8,2024-06-13 13:26:21,Thursday,13
41,605,2,1,5.33,27,2024-03-05 09:21:07,Tuesday,9
42,694,34,1,2.81,14,2024-02-04 09:23:59,Sunday,9
43,1135,33,1,8.3,8,2024-01-21 17:03:57,Sunday,17
44,372,24,2,12.96,39,2024-04-21 17:22:53,Sunday,17
45,510,76,1,3.16,3,2024-03-30 17:19:04,Saturday,17
46,615,97,1,3.59,11,2024-05-13 06:17:04,Monday,6
47,681,50,1,3.19,10,2024-01-25 17:19:57,Thursday,17
48,415,42,4,8.45,8,2024-02-16 15:54:13,Friday,15
49,499,77,3,6.92,7,2024-04-22 04:16:15,Monday,4
50,627,60,1,7.02,14,2024-06-09 07:12:41,Sunday,7
51,355,1,1,3.49,17,2024-03-03 09:00:15,Sunday,9
52,776,2,1,5.49,27,2024-04-26 06:32:30,Friday,6
53,264,16,1,5.29,11,2024-06-30 23:11:10,Sunday,23
54,73,19,1,9.3,19,2024-02-03 21:24:56,Saturday,21
55,374,79,1,2.79,8,2024-04-02 18:42:58,Tuesday,18
56,395,72,1,9.24,9,2024-05-07 13:12:49,Tuesday,13
57,716,21,1,8.62,17,2024-02-01 12:40:24,Thursday,12
58,554,84,3,11.41,11,2024-06-09 10:16:41,Sunday,10
59,86,62,4,33.81,68,2024-01-19 17:27:23,Friday,17
60,416,19,1,9.39,19,2024-02-07 12:02:26,Wednesday,12
61,253,91,3,24.66,25,2024-05-19 21:12:34,Sunday,21
62,667,31,1,4.61,5,2024-03-12 05:30:17,Tuesday,5
63,410,100,1,7.94,8,2024-01-24 07:54:49,Wednesday,7
64,237,1,1,3.98,20,2024-04-04 11:29:03,Thursday,11
65,253,29,1,2.22,2,2024-06-08 22:31:22,Saturday,22
66,253,35,1,2.47,2,2024-03-09 17:48:21,Saturday,17
67,253,5,1,8.56,43,2024-04-25 22:35:44,Thursday,22
68,1004,23,1,3.38,17,2024-06-09 09:48:21,Sunday,9
69,320,39,2,11.14,22,2024-01-03 21:27:34,Wednesday,21
70,864,41,1,2.9,9,2024-03-21 13:20:26,Thursday,13
71,925,19,1,9.2,18,2024-02-10 07:06:45,Saturday,7
72,1009,89,1,3.88,12,2024-04-25 08:12:09,Thursday,8
73,480,9,1,8.68,43,2024-01-30 12:47:08,Tuesday,12
74,736,15,1,7.3,36,2024-01-24 19:25:31,Wednesday,19
75,963,6,1,7.99,24,2024-01-22 16:48:38,Monday,16
76,218,42,1,2.14,2,2024-02-17 10:50:17,Saturday,10
77,667,79,1,2.77,8,2024-01-09 20:54:21,Tuesday,20
78,131,46,1,3.24,3,2024-03-13 07:35:46,Wednesday,7
79,503,100,1,8.31,8,2024-05-27 16:00:39,Monday,16
80,708,53,1,5.03,25,2024-04-17 17:27:31,Wednesday,17
81,621,59,1,3.67,7,2024-05-06 23:07:56,Monday,23
82,544,1,1,4.06,20,2024-02-07 08:42:05,Wednesday,8
83,150,15,1,7.36,37,2024-03-17 14:25:57,Sunday,14
84,562,54,1,4.15,21,2024-06-17 19:38:25,Monday,19
85,424,63,1,2.21,11,2024-06-14 09:04:05,Friday,9
86,1011,80,3,27.51,138,2024-03-09 17:16:53,Saturday,17
87,324,2,3,16.65,83,2024-01-02 10:28:31,Tuesday,10
88,889,99,2,17.37,87,2024-05-09 12:35:58,Thursday,12
89,714,4,1,9.77,10,2024-04-28 10:16:57,Sunday,10
90,856,54,1,3.92,20,2024-06-04 20:59:35,Tuesday,20
91,724,100,1,8.22,8,2024-05-02 03:17:03,Thursday,3
92,343,63,2,4.43,22,2024-01-01 11:03:35,Monday,11
93,303,29,1,2.23,2,2024-05-14 17:58:14,Tuesday,17
94,344,86,1,3.56,11,2024-06-04 09:14:44,Tuesday,9
95,466,69,1,5.01,10,2024-02-04 09:34:05,Sunday,9
96,805,66,1,4.12,21,2024-06-29 20:33:41,Saturday,20
97,602,25,1,6.23,19,2024-05-07 06:41:35,Tuesday,6
98,154,96,1,2.51,13,2024-02-06 19:34:02,Tuesday,19
99,812,11,1,5.37,16,2024-05-31 09:55:58,Friday,9
